"Date","EC"
"2018-08-28",1080
"2018-08-29",1060
"2018-08-30",1040
"2018-08-31",1050
"2018-09-01",1070
"2018-09-02",1050
"2018-09-03",1030
"2018-09-04",1020
"2018-09-05",1020
"2018-09-06",1010
"2018-09-07",1050
"2018-09-08",1100
"2018-09-09",1120
"2018-09-10",1030
"2018-09-11",1010
"2018-09-12",970
"2018-09-13",953
"2018-09-14",994
"2018-09-15",1140
"2018-09-16",1150
"2018-09-17",1090
"2018-09-18",1040
"2018-09-19",1050
"2018-09-20",1040
"2018-09-21",1030
"2018-09-22",1030
"2018-09-23",1030
"2018-09-24",1020
"2018-09-25",1020
"2018-09-26",1020
"2018-09-27",1020
"2018-09-28",1030
"2018-09-29",1050
"2018-09-30",1070
"2018-10-01",1080
"2018-10-02",1090
"2018-10-03",1080
"2018-10-04",1080
"2018-10-05",1080
"2018-10-06",1080
"2018-10-07",1080
"2018-10-08",1070
"2018-10-09",1070
"2018-10-10",1070
"2018-10-11",1080
"2018-10-12",1080
"2018-10-13",1080
"2018-10-14",1080
"2018-10-15",1080
"2018-10-16",1080
"2018-10-17",1090
"2018-10-18",1090
"2018-10-19",1090
"2018-10-20",1100
"2018-10-21",1100
"2018-10-22",1100
"2018-10-23",1100
"2018-10-24",1100
"2018-10-25",1100
"2018-10-26",1110
"2018-10-27",1110
"2018-10-28",1110
"2018-10-29",1110
"2018-10-30",1120
"2018-10-31",1120
"2018-11-01",1120
"2018-11-02",1120
"2018-11-03",1120
"2018-11-04",1110
"2018-11-05",1110
"2018-11-06",1120
"2018-11-07",1120
"2018-11-08",1110
"2018-11-09",1110
"2018-11-10",1100
"2018-11-11",1100
"2018-11-12",1090
"2018-11-13",1090
"2018-11-14",1100
"2018-11-15",1100
"2018-11-16",1110
"2018-11-17",1110
"2018-11-18",1120
"2018-11-19",1120
"2018-11-20",1130
"2018-11-21",1130
"2018-11-22",1130
"2018-11-23",1130
"2018-11-24",1140
"2018-11-25",1140
"2018-11-26",1140
"2018-11-27",1140
"2018-11-28",1140
"2018-11-29",1140
"2018-11-30",1130
"2018-12-01",1140
"2018-12-02",1140
"2018-12-03",1140
"2018-12-04",1140
"2018-12-05",1140
"2018-12-06",1140
"2018-12-07",1140
"2018-12-08",1140
"2018-12-09",1140
"2018-12-10",1140
"2018-12-11",1140
"2018-12-12",1140
"2018-12-13",1140
"2018-12-14",1140
"2018-12-15",1140
"2018-12-16",1140
"2018-12-17",1140
"2018-12-18",1140
"2018-12-19",1140
"2018-12-20",1140
"2018-12-21",1150
"2018-12-22",1150
"2018-12-23",1150
"2018-12-24",1150
"2018-12-25",1150
"2018-12-26",1160
"2018-12-27",1160
"2018-12-28",1160
"2018-12-29",1160
"2018-12-30",1160
"2018-12-31",1160
"2019-01-01",1160
"2019-01-02",1160
"2019-01-03",1150
"2019-01-04",1150
"2019-01-05",1150
"2019-01-06",1150
"2019-01-07",1150
"2019-01-08",1140
"2019-01-09",1140
"2019-01-10",1140
"2019-01-11",1140
"2019-01-12",1140
"2019-01-13",1140
"2019-01-14",1140
"2019-01-15",1150
"2019-01-16",1150
"2019-01-17",1150
"2019-01-18",1150
"2019-01-19",1150
"2019-01-20",1150
"2019-01-21",1150
"2019-01-22",1150
"2019-01-23",1150
"2019-01-24",1150
"2019-01-25",1160
"2019-01-26",1160
"2019-01-27",1150
"2019-01-28",1160
"2019-01-29",1160
"2019-01-30",1160
"2019-01-31",1160
"2019-02-01",1150
"2019-02-02",1150
"2019-02-03",1150
"2019-02-04",1140
"2019-02-05",1140
"2019-02-06",1140
"2019-02-07",1140
"2019-02-08",1140
"2019-02-09",1130
"2019-02-10",1130
"2019-02-11",1130
"2019-02-12",1130
"2019-02-13",1140
"2019-02-14",1150
"2019-02-15",1150
"2019-02-16",1150
"2019-02-17",1150
"2019-02-18",1150
"2019-02-19",1150
"2019-02-20",1150
"2019-02-21",1150
"2019-02-22",1150
"2019-02-23",1150
"2019-02-24",1150
"2019-02-25",1150
"2019-02-26",1150
"2019-02-27",1150
"2019-02-28",1150
"2019-03-01",1150
"2019-03-02",1150
"2019-03-03",1150
"2019-03-04",1150
"2019-03-05",1150
"2019-03-06",1170
"2019-03-07",1250
"2019-03-08",1240
"2019-03-09",1170
"2019-03-10",1080
"2019-03-11",1080
"2019-03-12",1090
"2019-03-13",1090
"2019-03-14",1090
"2019-03-15",1180
"2019-03-16",1250
"2019-03-17",1260
"2019-03-18",1270
"2019-03-19",1340
"2019-03-20",1360
"2019-03-21",1340
"2019-03-22",1370
"2019-03-23",1370
"2019-03-24",1380
"2019-03-25",1370
"2019-03-26",1390
"2019-03-27",1420
"2019-03-28",1430
"2019-03-29",1430
"2019-03-30",1440
"2019-03-31",1410
"2019-04-01",1410
"2019-04-02",1420
"2019-04-03",1350
"2019-04-04",1320
"2019-04-05",1340
"2019-04-06",1310
"2019-04-07",1310
"2019-04-08",1300
"2019-04-09",1290
"2019-04-10",1300
"2019-04-11",1330
"2019-04-12",1350
"2019-04-13",1360
"2019-04-14",1360
"2019-04-15",1360
"2019-04-16",1390
"2019-04-17",1320
"2019-04-18",1280
"2019-04-19",1270
"2019-04-20",1270
"2019-04-21",1270
"2019-04-22",1270
"2019-04-23",1270
"2019-04-24",1280
"2019-04-25",1340
"2019-04-26",1310
"2019-04-27",1270
"2019-04-28",1270
"2019-04-29",1260
"2019-04-30",1270
"2019-05-01",1290
"2019-05-02",1310
"2019-05-03",1250
"2019-05-04",1280
"2019-05-05",1290
"2019-05-06",1280
"2019-05-07",1250
"2019-05-08",1250
"2019-05-09",1250
"2019-05-10",1250
"2019-05-11",1260
"2019-05-12",1260
"2019-05-13",1260
"2019-05-14",1260
"2019-05-15",1280
"2019-05-16",1300
"2019-05-17",1260
"2019-05-18",1290
"2019-05-19",1270
"2019-05-20",1260
"2019-05-21",1280
"2019-05-22",1270
"2019-05-23",1260
"2019-05-24",1270
"2019-05-25",1260
"2019-05-26",1250
"2019-05-27",1250
"2019-05-28",1260
"2019-05-29",1260
"2019-05-30",1250
"2019-05-31",1250
"2019-06-01",1250
"2019-06-02",1250
"2019-06-03",1250
"2019-06-04",1240
"2019-06-05",1230
"2019-06-06",1220
"2019-06-07",1190
"2019-06-08",1150
"2019-06-09",1110
"2019-06-10",1060
"2019-06-11",1030
"2019-06-12",1010
"2019-06-13",985
"2019-06-14",966
"2019-06-15",954
"2019-06-16",936
"2019-06-17",920
"2019-06-18",904
"2019-06-19",891
"2019-06-20",879
"2019-06-21",877
"2019-06-22",875
"2019-06-23",873
"2019-06-24",874
"2019-06-25",876
"2019-06-26",877
"2019-06-27",880
"2019-06-28",883
"2019-06-29",886
"2019-06-30",889
"2019-07-01",888
"2019-07-02",897
"2019-07-03",901
"2019-07-04",902
"2019-07-05",903
"2019-07-06",913
"2019-07-07",920
"2019-07-08",938
"2019-07-09",921
"2019-07-10",921
"2019-07-11",917
"2019-07-12",909
"2019-07-13",908
"2019-07-14",905
"2019-07-15",906
"2019-07-16",923
"2019-07-17",941
"2019-07-18",949
"2019-07-19",964
"2019-07-20",991
"2019-07-21",1010
"2019-07-22",1010
"2019-07-23",1040
"2019-07-24",1090
"2019-07-25",1100
"2019-07-26",1080
"2019-07-27",1070
"2019-07-28",1130
"2019-07-29",1120
"2019-07-30",1100
"2019-07-31",1130
"2019-08-01",1100
"2019-08-02",1130
"2019-08-03",1110
"2019-08-04",1130
"2019-08-05",1120
"2019-08-06",1110
"2019-08-07",1140
"2019-08-08",1130
"2019-08-09",1130
"2019-08-10",1140
"2019-08-11",1140
"2019-08-12",1130
"2019-08-13",1130
"2019-08-14",1130
"2019-08-15",1150
"2019-08-16",1160
"2019-08-17",1140
"2019-08-18",1140
"2019-08-19",1110
"2019-08-20",1125
"2019-08-21",1140
"2019-08-22",1110
"2019-08-23",1150
"2019-08-24",1140
"2019-08-25",1140
"2019-08-26",1080
"2019-08-27",1110
"2019-08-28",1120
"2019-08-29",1150
"2019-08-30",1170
"2019-08-31",1090
"2019-09-01",1070
"2019-09-02",1110
"2019-09-03",1090
"2019-09-04",1060
"2019-09-05",1080
"2019-09-06",1060
"2019-09-07",1100
"2019-09-08",1060
"2019-09-09",1050
"2019-09-10",1080
"2019-09-11",1030
"2019-09-12",1040
"2019-09-13",1010
"2019-09-14",1040
"2019-09-15",973
"2019-09-16",981
"2019-09-17",985
"2019-09-18",1040
"2019-09-19",1000
"2019-09-20",935
"2019-09-21",942
"2019-09-22",956
"2019-09-23",1010
"2019-09-24",926
"2019-09-25",925
